,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chapais,90,CA,1569459446,87,49.78,-74.86,50.0,13.87
1,nelson bay,32,CA,1569459446,36,49.49,-117.29,57.19,3.42
2,hermanus,0,ZA,1569459446,68,-34.42,19.24,66.99,10.0
3,tsuyama,0,JP,1569459447,64,35.14,134.03,71.6,5.82
4,taywarah,0,AF,1569459447,22,33.35,64.42,53.82,6.38
5,derzhavinsk,0,KZ,1569459448,62,51.1,66.31,38.42,3.62
6,vaini,75,IN,1569459448,94,15.34,74.49,71.6,6.93
7,esperance,98,AU,1569459449,77,-33.86,121.89,60.8,8.19
8,beringovskiy,100,RU,1569459449,77,63.05,179.32,39.89,15.86
9,bara,64,NG,1569459259,90,10.41,10.6,75.55,7.87
10,port elizabeth,85,CD,1569459450,55,-7.04,29.76,67.49,3.29
11,bandarbeyla,0,SO,1569459451,73,9.49,50.81,74.02,13.69
12,ushuaia,75,AR,1569459452,69,-54.81,-68.31,39.2,11.41
13,barstow,1,US,1569459452,31,31.46,-103.39,93.2,6.93
14,tilichiki,100,RU,1569459452,83,60.47,166.1,47.74,7.81
15,barrow,42,AR,1569459453,68,-38.31,-60.23,57.48,7.76
16,avarua,75,CK,1569459373,74,-21.21,-159.78,78.8,12.75
17,yatou,75,CM,1569459454,100,3.63,9.81,77.0,3.36
18,georgetown,40,GY,1569459359,79,6.8,-58.16,84.2,6.93
19,shihezi,5,CN,1569459455,42,44.3,86.03,68.73,6.91
20,east london,99,UG,1569459455,95,3.43,31.7,67.38,1.21
21,punta arenas,20,PH,1569459455,70,14.18,121.12,88.0,2.24
22,adelanto,1,US,1569459456,45,34.58,-117.41,93.2,11.41
23,tezu,7,IN,1569459456,81,27.93,96.16,67.45,1.97
24,champerico,90,MX,1569459456,74,16.38,-93.6,82.4,3.29
25,busselton,81,AU,1569459457,93,-33.64,115.35,59.0,3.0
26,bud,0,NO,1569459457,93,62.91,6.91,48.2,8.05
27,saldanha,84,PT,1569459196,74,41.42,-6.55,57.73,3.31
28,fortuna,0,ES,1569459458,88,38.18,-1.13,72.0,3.36
29,triunfo,0,BR,1569459459,88,-29.94,-51.72,64.4,8.05
30,pimenta bueno,72,BR,1569459459,88,-20.48,-45.8,64.28,2.1
31,yellowknife,40,CA,1569459460,80,62.45,-114.38,41.0,8.05
32,gejiu,100,CN,1569459460,98,23.36,103.16,52.62,3.51
33,hobart,20,AU,1569459199,47,-42.88,147.33,59.0,16.11
34,butaritari,15,KI,1569459461,76,3.07,172.79,83.69,18.39
35,ponta do sol,96,BR,1569459462,80,-0.53,-65.05,77.3,2.1
36,beloha,66,MG,1569459462,75,-25.17,45.06,64.55,16.37
37,cidreira,0,BR,1569459463,93,-30.17,-50.22,62.07,6.96
38,codrington,90,AU,1569459464,57,-28.95,153.24,75.2,9.17
39,mataura,100,NZ,1569459463,91,-46.19,168.86,48.99,18.01
40,saint-philippe,1,CA,1569459465,87,45.36,-73.48,64.0,5.82
41,thompson,20,CA,1569459466,36,55.74,-97.86,48.2,12.75
42,touros,20,BR,1569459186,78,-5.2,-35.46,75.2,5.82
43,clyde river,99,NZ,1569459466,53,-45.19,169.32,48.99,5.01
44,tiksi,84,RU,1569459467,81,71.64,128.87,35.95,8.55
45,tuatapere,100,NZ,1569459467,91,-46.13,167.69,48.99,18.01
